country,year,population,gdp,co2,co2_growth_abs,gdp_per_capita,real_co2,gdp_per_capita_over_co2,gdp_over_co2,co2_over_gdp_per_capita,co2_over_gdp,co2_over_population,co2_over_gdp_over_population
Philippines,2005,86261248,424650342400,73.303,0.497,4922.840235281548,73303000.0,67.15741832232717,5793082716.942008,14890.38776327618,0.17261966535977058,0.8497790340339152,2.001126454369992e-09
Philippines,2006,87901832,450316369920,66.554,-6.749,5122.946355884824,66554000.0,76.9742818746405,6766180393.665294,12991.352119771502,0.14779387214331896,0.7571400787187234,1.681351443771035e-09
Philippines,2007,89561376,483816439808,70.796,4.242,5402.065727619013,70796000.0,76.30467438300204,6833951632.973614,13105.35701889797,0.14632822321642278,0.7904746796208223,1.6338317894582458e-09
Philippines,2008,91252328,507831517184,77.331,6.535,5565.134921094835,77331000.0,71.96512292734911,6566985001.926782,13895.6199798273,0.15227688196434067,0.8474413934951884,1.668745173978911e-09
Philippines,2009,92946952,517597462528,76.61,-0.72,5568.74057072899,76610000.0,72.689473576935,6756265011.460645,13757.150118051051,0.14801077197293197,0.8242335907905834,1.5924220083401118e-09
Philippines,2010,94636704,561436033024,83.063,6.453,5932.540011368105,83063000.0,71.42217366779559,6759159108.435765,14001.254073437729,0.14794739759150669,0.8777038557893986,1.5633194240524974e-09
Philippines,2011,96337912,586460954624,83.908,0.845,6087.54064157006,83908000.0,72.55018164620847,6989333015.016446,13783.563008518819,0.1430751686679572,0.8709759040656808,1.4851387755628043e-09
Philippines,2012,98032320,625662230528,88.629,4.721,6382.20365006153,88629000.0,72.01033126924065,7059339838.292207,13886.896260219703,0.14165630539213703,0.9040793893279278,1.4449959502349534e-09
Philippines,2013,99700112,669825564672,96.036,7.407,6718.403332104582,96036000.0,69.957134117462,6974734106.709984,14294.467785386163,0.14337464119785706,0.9632486671629817,1.438058978287377e-09
Philippines,2014,101325208,711518781440,101.484,5.448,7022.129986054408,101484000.0,69.19445416079785,7011142460.289307,14452.025268905882,0.14263010709936938,1.0015671519766336,1.4076468226876906e-09
Philippines,2015,103031360,753489674240,112.449,10.966,7313.207107428263,112449000.0,65.03576828098305,6700723654.634545,15376.154175338736,0.14923761246419281,1.0914055681687596,1.4484678496352258e-09
Philippines,2016,104875272,805057069056,121.792,9.343,7676.328782784944,121792000.0,63.028185617979375,6610098110.352076,15865.91760805408,0.15128368494771657,1.1613033051299262,1.4425105371618638e-09
Philippines,2017,106738496,858818805760,135.15,13.358,8046.008122130557,135150000.0,59.53391137351503,6354560161.0062895,16797.149337728075,0.15736730389875528,1.2661786053271726,1.474325663149266e-09
Philippines,2018,108568832,912443441152,141.518,6.368,8404.285321518426,141518000.0,59.386688064546036,6447543359.516104,16838.790520076196,0.155097832498338,1.3034864370651054,1.4285668330514783e-09
Philippines,2019,110380800,991316346836,144.16,2.642,8980.87662742071,144160000.0,62.29797882506042,6876500741.09323,16051.885131106903,0.1454228011674757,1.3060242360990317,1.3174646421069216e-09
Philippines,2020,112190984,951665480001,132.851,-11.309,8482.548651155426,132851000.0,63.85009259362313,7163404716.569691,15661.684413905965,0.1395984227565556,1.1841504126570457,1.2442927032047031e-09
Philippines,2021,113880336,1036732961827,142.754,9.903,9103.704803145294,142754000.0,63.77197698940341,7262374166.93753,15680.868732768999,0.13769601744737564,1.2535438954096518,1.209129005795835e-09
